,LSOA code,LSOA name (Eng),WIMD 2025 overall quintile,population,households,average_household_size,air_quality,congestion,dampness,diet_change,excess_cold,excess_heat,hassle_costs,noise,physical_activity,road_repairs,road_safety,sum
112,W01001812,Pentwyn 4,2,1311,480,2.73,0.9247359,0.0,0.01247166,0.098232583,0.161783502,2.69e-06,-1.319984454,0.0,0.832447488,0.0,0.0,0.709689366
113,W01001813,Pentwyn 5,1,1904,785,2.43,1.343018423,0.0,0.02517226,0.142665779,0.169991004,3.05e-06,-1.917048361,0.0,1.209592306,0.0,0.0,0.973394461
114,W01001814,Pentwyn 6,3,1422,687,2.07,1.003031619,0.0,0.018925278,0.106549756,0.19284116,2.73e-06,-1.43174515,0.0,0.818392892,0.0,0.0,0.707998288
115,W01001815,Pentwyn 7,4,1348,542,2.49,0.950840229,0.0,0.008533212,0.101004973,0.246907809,3.04e-06,-1.357238021,0.0,1.916581705,0.0,0.0,1.866632951
116,W01001816,Pentwyn 8,2,2875,1101,2.61,2.027929605,0.0,0.036408641,0.215422329,0.319890487,5.47e-06,-2.894702749,0.0,2.815876601,0.0,0.0,2.520830386
117,W01001817,Pentwyn 9,3,1416,582,2.43,0.998799416,0.0,0.014258813,0.106100182,0.196716029,2.89e-06,-1.425704032,0.0,1.589547214,0.0,0.0,1.479720511
118,W01001818,Pentwyn 10,2,1571,624,2.52,1.108131275,0.0,0.016915621,0.117714255,0.179495044,2.88e-06,-1.58176627,0.0,1.093056017,0.0,0.0,0.933548825
119,W01001819,Pentyrch and St Fagans 4,5,2342,966,2.42,1.752889892,-0.181499342,0.012953676,0.175484903,0.51816159,6.21e-06,-2.126855132,0.36483154,14.08462941,-0.023642268,-0.1706267,14.40633378
120,W01001820,Pentyrch and St Fagans 5,5,1193,516,2.31,0.841507712,0.0,0.007280424,0.0893909,0.234327847,2.64e-06,-1.201175784,0.0,2.100533269,0.0,0.0,2.071867012
121,W01001821,Penylan 1,5,1793,551,3.25,1.264722708,0.0,0.012312277,0.134348604,0.206194464,3.47e-06,-1.805287662,0.0,1.482067277,0.0,0.0,1.294361142
122,W01001822,Penylan 2,4,1941,808,2.4,1.369970498,0.0,0.016920592,0.14543817,0.327158403,4.42e-06,-1.954301928,0.0,1.676660508,0.0,0.0,1.581850659
123,W01001823,Penylan 3,5,1266,514,2.46,0.891794002,0.0,0.006337684,0.094860754,0.250958086,3.02e-06,-1.274676065,0.0,3.487604491,0.0,0.0,3.456881971
124,W01001824,Penylan 4,3,1604,725,2.21,1.131392856,0.0,0.011139074,0.120186928,0.062520358,1.11e-06,-1.614992421,0.0,1.087332947,0.0,0.0,0.797580853
125,W01001825,Penylan 5,3,2009,869,2.31,1.417090518,0.0,0.017493725,0.150533377,0.271851046,3.66e-06,-2.022767939,0.0,1.574801416,0.0,0.0,1.409005803
126,W01001826,Penylan 6,5,1382,547,2.53,0.973506569,0.0,0.006384309,0.103552578,0.270782071,3.18e-06,-1.391471027,0.0,3.742024751,0.0,0.0,3.704782434
127,W01001827,Penylan 7,5,1675,629,2.66,1.181496576,0.0,0.006404974,0.125506921,0.337865441,4.01e-06,-1.686478991,0.0,9.715996981,0.0,0.0,9.680795916
128,W01001828,Penylan 8,5,1547,632,2.45,1.091209077,0.0,0.008212554,0.115915944,0.303951265,3.56e-06,-1.557601792,0.0,2.977631116,0.0,0.0,2.939321721
129,W01001829,Plasnewydd 1,3,2213,718,3.08,1.554128409,0.0,0.006106619,0.165818998,0.013026868,4.91e-07,-2.228165978,0.0,0.594689077,0.0,0.0,0.105604484
130,W01001830,Plasnewydd 2,2,1678,888,1.89,1.178412778,0.0,0.009486007,0.12573171,0.017629406,4.74e-07,-1.689499553,0.0,0.255968836,0.0,0.0,-0.102270342
131,W01001831,Plasnewydd 3,4,1592,656,2.43,1.122938812,0.0,0.014322689,0.119287773,0.118627101,2.02e-06,-1.602910183,0.0,0.958392421,0.0,0.0,0.730660632
132,W01001832,Plasnewydd 4,3,1844,804,2.29,1.294989963,0.0,0.006092208,0.138170005,0.010769543,3.66e-07,-1.856637171,0.0,0.150756886,0.0,0.0,-0.255858199
133,W01001833,Plasnewydd 5,3,1583,698,2.27,1.116602437,0.0,0.015546074,0.118613406,0.202251376,2.88e-06,-1.593848505,0.0,1.105263618,0.0,0.0,0.964431284
134,W01001834,Plasnewydd 6,3,1795,714,2.51,1.26611607,0.0,0.012966746,0.134498462,0.050530374,1.18e-06,-1.807301372,0.0,1.031297836,0.0,0.0,0.688109299
135,W01001835,Plasnewydd 7,2,2471,978,2.53,1.735314643,0.0,0.010871814,0.18515081,0.02084747,7.13e-07,-2.487934084,0.0,0.493061172,0.0,0.0,-0.042687462
136,W01001836,Plasnewydd 8,3,1339,525,2.55,0.944473214,0.0,0.008824723,0.100330608,0.07420737,1.25e-06,-1.348176342,0.0,0.997772258,0.0,0.0,0.777433086
137,W01001837,Plasnewydd 9,2,1392,513,2.71,0.981842842,0.0,0.008725031,0.104301872,0.034315686,7.99e-07,-1.401539558,0.0,0.838328858,0.0,0.0,0.56597553
138,W01001838,Plasnewydd 10,4,1657,624,2.66,1.168799896,0.0,0.013143618,0.124158189,0.189525075,3e-06,-1.668355638,0.0,1.131090785,0.0,0.0,0.958364921
139,W01001839,Plasnewydd 11,3,1637,603,2.71,1.154669644,0.0,0.009613194,0.1226596,0.052177992,1.12e-06,-1.648218573,0.0,1.030669136,0.0,0.0,0.72157211
140,W01001840,Pontprennau and Old St Mellons 1,3,1973,882,2.24,1.392556308,0.0,0.021639015,0.147835914,0.34605878,4.76e-06,-1.986521225,0.0,1.290166473,0.0,0.0,1.211740022
141,W01001841,Pontprennau and Old St Mellons 2,5,1911,747,2.56,1.347955994,0.0,0.010110257,0.143190287,0.348642424,4.25e-06,-1.924096332,0.0,3.756011987,0.0,0.0,3.681818863
142,W01001842,Pontprennau and Old St Mellons 3,5,1759,731,2.41,1.240747749,0.0,0.013603812,0.131800999,0.2802334,3.59e-06,-1.771054657,0.0,2.018812179,0.0,0.0,1.914147074
143,W01001844,Pontprennau and Old St Mellons 5,4,1864,852,2.19,1.314811714,0.0,0.017560546,0.1396686,0.306310505,3.77e-06,-1.876774236,0.0,2.431289865,0.0,0.0,2.332870768
144,W01001846,Radyr 1,5,1746,652,2.68,1.231577924,0.0,0.009159752,0.130826916,0.319206298,4.02e-06,-1.757965567,0.0,2.920744888,0.0,0.0,2.853554227
145,W01001847,Radyr 2,5,1600,638,2.51,1.128593744,0.0,0.006262894,0.119887208,0.377470853,4.35e-06,-1.610965008,0.0,6.899587645,0.0,0.0,6.920841689
146,W01001848,Rhiwbina 1,5,1467,604,2.43,1.034779387,0.0,0.008320859,0.109921583,0.279296802,3.34e-06,-1.477053544,0.0,2.725301983,0.0,0.0,2.680570414
147,W01001849,Rhiwbina 2,5,1585,646,2.45,1.118013178,0.0,0.006866484,0.118763267,0.325529265,3.89e-06,-1.595862213,0.0,8.50057287,0.0,0.0,8.473886738
148,W01001850,Rhiwbina 3,5,1915,785,2.44,1.350785635,0.0,0.007931051,0.143490003,0.418083565,4.73e-06,-1.928123745,0.0,12.89386236,0.0,0.0,12.8860336
149,W01001851,Rhiwbina 4,5,1574,709,2.22,1.110247371,0.0,0.010727677,0.11793904,0.315053324,3.61e-06,-1.584786827,0.0,2.618948278,0.0,0.0,2.588132476
150,W01001852,Rhiwbina 5,5,1940,738,2.63,1.368419915,0.0,0.007173415,0.145363241,0.388933561,4.53e-06,-1.953295074,0.0,7.612120309,0.0,0.0,7.568719899
151,W01001853,Rhiwbina 6,5,1619,755,2.14,1.141995797,0.0,0.009970491,0.121310869,0.338680689,3.67e-06,-1.630095222,0.0,3.156281717,0.0,0.0,3.138148007
152,W01001854,Rhiwbina 7,5,1591,796,2.0,1.122245403,0.0,0.012567113,0.119212844,0.340830257,3.73e-06,-1.601903332,0.0,2.134546109,0.0,0.0,2.127502121
153,W01001855,Riverside 1,1,1770,669,2.65,1.248482141,0.0,0.014825691,0.132625223,0.060045531,1.43e-06,-1.782130043,0.0,0.904761256,0.0,0.0,0.57861123
154,W01001856,Riverside 2,1,1764,685,2.58,1.238808187,0.0,0.010325216,0.132175648,0.020137512,6.98e-07,-1.776088922,0.0,0.794923644,0.0,0.0,0.420281983
155,W01001857,Riverside 3,1,2133,905,2.36,1.498875452,0.0,0.062724535,0.159824637,0.07710121,7.54e-06,-2.147617732,0.0,0.909531965,0.0,0.0,0.560447603
156,W01001858,Riverside 4,4,1578,856,1.84,1.113068841,0.0,0.014248303,0.118238759,0.253767714,2.87e-06,-1.58881424,0.0,1.545619231,0.0,0.0,1.456131473
