co-benefit_type,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,sum,population,households,LSOA code,LSOA name (Eng),WIMD 2025 overall rank ,WIMD 2025 overall decile,WIMD 2025 overall quintile
physical_activity,0.012685134,0.018008409,0.021967343,0.025187301,0.028099618,0.030979338,0.032150516,0.03328623,0.034360148,0.035346629,0.036605211,0.037457426,0.038292941,0.039089108,0.039845629,0.040811431,0.041411484,0.041939671,0.042384927,0.042771958,0.043341169,0.04355554,0.043662054,0.043743258,0.04380634,0.044213871,0.935002684,2148,947,W01001698,Adamsdown 5,216,2,1
road_repairs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2148,947,W01001698,Adamsdown 5,216,2,1
road_safety,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2148,947,W01001698,Adamsdown 5,216,2,1
sum,-0.027080949,-0.029073824,-0.024218011,-0.026617535,-0.029159177,-0.030828679,-0.026101183,-0.019058373,-0.011954955,-0.004998108,0.003592672,0.011071538,0.017943283,0.024945433,0.031953823,0.03845251,0.04393175,0.048922308,0.053507771,0.057349927,0.061582346,0.063714976,0.064324798,0.064260581,0.064082253,0.06431714,0.484862315,2148,947,W01001698,Adamsdown 5,216,2,1
air_quality,0.005282631,0.006725931,0.008642944,0.011135796,0.014303716,0.018904708,0.024143935,0.031269899,0.039169599,0.046935154,0.055597467,0.063765548,0.071630296,0.079216095,0.08636918,0.093128659,0.098925297,0.104175874,0.108793074,0.112732127,0.115965059,0.117880068,0.118086338,0.11740068,0.116652374,0.115936901,1.78276935,2537,1031,W01001699,Butetown 1,136,1,1
congestion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2537,1031,W01001699,Butetown 1,136,1,1
dampness,2.49e-08,3.67e-07,6.59e-07,0.000879582,0.000841431,0.000236302,4.17e-05,4.18e-05,4.5e-05,0.000865804,0.000866037,0.001090322,0.000865846,0.000868187,0.001431255,0.005424308,0.005382977,0.005341519,0.00530625,0.005266337,0.005228284,0.005189753,0.005151925,0.005116552,0.0050802,0.005046248,0.06560867,2537,1031,W01001699,Butetown 1,136,1,1
diet_change,0.0,0.0,0.008962522,0.009005513,0.008939611,0.008840727,0.00873211,0.008620826,0.008509039,0.008397481,0.008286503,0.008176451,0.008067626,0.00796014,0.007854049,0.007749391,0.007646114,0.007544136,0.007443402,0.007343839,0.007245258,0.007147464,0.007050354,0.006953813,0.006857736,0.00676205,0.190096155,2537,1031,W01001699,Butetown 1,136,1,1
excess_cold,2.47e-06,4.27e-05,7.44e-05,0.000188072,0.000222622,0.000237497,0.000299957,0.000353654,0.001332866,0.000577493,0.001570629,0.001673559,0.001606455,0.001784447,0.002083441,0.006559172,0.006509688,0.00641805,0.006579788,0.006488955,0.006456049,0.00636585,0.006274057,0.006286016,0.006196415,0.006198977,0.082383279,2537,1031,W01001699,Butetown 1,136,1,1
excess_heat,2.63e-10,-2.6e-09,5.83e-09,-3.32e-09,5.81e-10,-2.61e-08,5.21e-09,4.24e-08,3.53e-08,4.12e-09,1.11e-07,5.79e-08,8.04e-10,6.96e-08,6.12e-08,6.95e-07,8.85e-07,8.78e-07,6.53e-07,6.47e-07,6.56e-07,6.48e-07,6.4e-07,5.36e-07,5.29e-07,3.94e-07,7.52e-06,2537,1031,W01001699,Butetown 1,136,1,1
